iter	Passed	Remaining
811	2504	579
812	2509	577
813	2513	574
814	2516	571
815	2519	568
816	2522	565
817	2527	562
818	2531	559
819	2533	556
820	2536	552
821	2540	550
822	2544	547
823	2547	544
824	2550	540
825	2552	537
826	2557	535
827	2560	531
828	2564	528
829	2567	525
830	2569	522
831	2574	519
832	2578	516
833	2581	513
834	2583	510
835	2587	507
836	2591	504
837	2596	501
838	2600	499
839	2606	496
840	2609	493
841	2612	490
842	2615	487
843	2617	483
844	2622	481
845	2625	477
846	2628	474
847	2630	471
848	2633	468
849	2637	465
850	2640	462
851	2643	459
852	2646	456
853	2648	452
854	2652	449
855	2656	446
856	2659	443
857	2662	440
858	2665	437
859	2668	434
860	2671	431
861	2674	428
862	2677	424
863	2679	421
864	2682	418
865	2685	415
866	2688	412
867	2690	409
868	2693	406
869	2695	402
870	2699	399
871	2702	396
872	2705	393
873	2709	390
874	2713	387
875	2716	384
876	2718	381
877	2721	378
878	2724	374
879	2726	371
880	2729	368
881	2731	365
882	2734	362
883	2737	359
884	2739	356
885	2742	352
886	2744	349
887	2747	346
888	2750	343
889	2752	340
890	2755	337
891	2757	333
892	2760	330
893	2762	327
894	2765	324
895	2767	321
896	2770	318
897	2773	314
898	2775	311
899	2778	308
900	2781	305
901	2784	302
902	2787	299
903	2789	296
904	2792	293
905	2795	290
906	2797	286
907	2800	283
908	2802	280
909	2805	277
910	2808	274
911	2811	271
912	2814	268
913	2817	265
914	2820	261
915	2822	258
916	2825	255
917	2828	252
918	2830	249
919	2833	246
920	2835	243
921	2838	240
922	2840	236
923	2843	233
924	2846	230
925	2848	227
926	2851	224
927	2853	221
928	2856	218
929	2858	215
930	2861	212
931	2864	208
932	2866	205
933	2869	202
934	2872	199
935	2874	196
936	2877	193
937	2879	190
938	2882	187
939	2885	184
940	2887	181
941	2890	177
942	2893	174
943	2895	171
944	2898	168
945	2900	165
946	2903	162
947	2906	159
948	2908	156
949	2911	153
950	2914	150
951	2917	147
952	2921	144
953	2924	141
954	2927	137
955	2930	134
956	2933	131
957	2936	128
958	2939	125
959	2941	122
960	2944	119
961	2947	116
962	2949	113
963	2952	110
964	2954	107
965	2957	104
966	2960	101
967	2962	97
968	2965	94
969	2967	91
970	2970	88
971	2973	85
972	2976	82
973	2978	79
974	2981	76
975	2984	73
976	2986	70
977	2989	67
978	2992	64
979	2994	61
980	2997	58
981	2999	54
982	3002	51
983	3005	48
984	3007	45
985	3010	42
986	3012	39
987	3015	36
988	3018	33
989	3022	30
990	3025	27
991	3028	24
992	3032	21
993	3035	18
994	3037	15
995	3040	12
996	3042	9
997	3045	6
998	3048	3
999	3050	0
